topic_id,query_id,new_query,new_topic
G01,G01.1,Gender biases in digital assistants,Gender biases in digital assistants
G01,G01.2,Gender biases in digital assistants,Gender biases in digital assistants
G01,G01.C1,impact of AI virtual assistants on gender stereotypes,Gender biases in digital assistants
G01,G01.C2,gender representation in digital assistants,Gender biases in digital assistants
G01,G01.C3,language models gender biases digital assistants responses,Gender biases in digital assistants
G02,G02.1,Apple Siri recordings confidential information,Apple Siri privacy concerns
G02,G02.2,Apple Siri privacy concerns,Apple Siri privacy concerns
G02,G02.C1,handling of sensitive information by voice assistants Apple Siri privacy concerns,Apple Siri privacy concerns
G02,G02.C2,ethical considerations in AI systems personal data privacy Apple Siri recordings,Apple Siri privacy concerns
G02,G02.C3,technology behind voice assistants speech processing,Apple Siri privacy concerns
G03,G03.1,children smart speaker adoption trends,impact of voice assistants on children development
G03,G03.2,children surveillance voice assistants,impact of voice assistants on children development
G03,G03.C1,children interaction with voice assistants design child-friendly interfaces,impact of voice assistants on children development
G03,G03.C2,privacy and safety concerns children voice assistants connected devices,impact of voice assistants on children development
G03,G03.C3,impact of voice assistants on family life and child development,impact of voice assistants on children development
G04,G04.1,AI impact on drug discovery,AI impact on pharmaceutical industry drug discovery
G04,G04.2,functional genomics drug discovery AI,AI impact on pharmaceutical industry drug discovery
G04,G04.3,AI applications in drug discovery for infectious diseases,AI impact on pharmaceutical industry drug discovery
G04,G04.C1,AI impact on pharmaceutical research success rates,AI impact on pharmaceutical industry drug discovery
G04,G04.C2,machine learning models disease patterns treatment outcomes,AI impact on pharmaceutical industry drug discovery
G04,G04.C3,role of data mining techniques in drug development,AI impact on pharmaceutical industry drug discovery
G05,G05.1,Crispr gene editing clinical trials progress,Crispr gene-editing therapies applications and advancements
G05,G05.2,Crispr gene-editing therapies clinical trials,Crispr gene-editing therapies applications and advancements
G05,G05.C1,machine learning algorithms application in Crispr gene-editing,Crispr gene-editing therapies applications
G05,G05.C2,"tools for mapping genomic edits, visualizing gene expression patterns, and understanding spatial and functional relationships between genomic elements Crispr",Crispr gene-editing therapies advancements
G06,G06.1,ubiquity artificial intelligence regulation,Elon Musk AI regulation existential threat
G06,G06.2,self-driving cars regulation AI,Elon Musk AI regulation existential threat
G06,G06.C1,ethical considerations governance frameworks policies responsible development deployment AI technologies,Elon Musk AI regulation existential threat
G06,G06.C2,strategies to ensure safe and secure AI systems without unintended harmful consequences,Regulate artificial intelligence existential threat Elon Musk
G06,G06.C3,regulation of artificial intelligence compliance standards,Elon Musk AI regulation existential threat
G07,G07.1,Facebook misinformation news ban,Facebook news ban impact on Australia
G07,G07.2,Facebook conspiracy theories misinformation,Facebook news ban impact on Australia
G07,G07.C1,NLP techniques for detecting misinformation on social media,Facebook news ban impact on Australia
G07,G07.C2,impact of misinformation on social networks,Facebook news ban impact on Australian non-media organizations
G08,G08.1,Bitcoin market value surge reasons,Bitcoin market value surge reasons
G08,G08.2,Bitcoin market capitalization growth factors,Bitcoin market value increase reasons
G08,G08.C1,cryptographic underpinnings of blockchain technology Bitcoin,Bitcoin market value increase reasons
G08,G08.C2,consensus mechanisms Proof of Work cryptocurrencies decentralized operation,Bitcoin market value increase reasons
G08,G08.C3,computational techniques analysis cryptocurrency markets,Bitcoin market value increase reasons
G09,G09.1,Forensic Architecture investigation,Forensic Architecture investigations human rights crimes
G09,G09.C1,Spatial data analysis techniques for crime scene reconstruction,Forensic Architecture investigations human rights cases
G09,G09.C2,3D modeling advanced data visualization techniques events evidence reconstruction,Forensic Architecture investigations human rights cases
G09,G09.C3,machine learning algorithms application large dataset forensic investigation,Forensic Architecture investigations human rights cases
G10,G10.1,impact of humanoid robots on job losses,impact of automation on job losses during pandemic
G10,G10.2,automation impact on job losses pandemic,impact of automation on job losses during pandemic
G10,G10.C1,impact of robotic technologies on job losses during pandemic,impact of automation on job losses during pandemic
G10,G10.C2,"economic implications of increased automation and AI in the workforce, job displacement creation",impact of automation on job losses during pandemic
G10,G10.C3,impact of automation on the workforce during the pandemic,impact of automation on job losses during pandemic
G11,G11.1,armed drone technology impact in military conflicts,UK response to Azerbaijan drones Nagorno-Karabakh conflict
G11,G11.C1,development and automation of drones in military technology,impact of drones in military conflicts
G11,G11.C2,"AI application in drones for decision-making, surveillance, and combat",impact of drones in military conflicts
G11,G11.C3,secure communication drones control stations,impact of drones in military conflicts
G12,G12.1,sale of patient data to US pharmaceutical companies,Sale of NHS patient data to US pharmaceutical companies
G12,G12.C1,ethics of selling health data for commercial use,Sale of NHS patient data to US pharmaceutical companies
G12,G12.C2,technologies for securing health data privacy,Sale of NHS patient data to US pharmaceutical companies
G12,G12.C3,laws and regulations governing cross-border health data transfer and usage,Sale of NHS patient data to US pharmaceutical companies
G12,G12.C4,pharmaceutical companies use of patient data analysis techniques,Sale of NHS patient data to US pharmaceutical companies
G13,G13.1,types of digital marketing strategies,Understanding digital marketing strategies
G13,G13.2,digital marketing advertising strategies,Understanding digital marketing strategies
G13,G13.C1,SEO techniques and strategies for website visibility improvement,Understanding digital marketing strategies
G13,G13.C2,Pay-Per-Click Advertising benefits and strategies,Understanding digital marketing strategies and tools
G13,G13.C3,Social Media Marketing strategies for brand building and audience engagement,Understanding digital marketing strategies and tools
G13,G13.C4,Content Marketing strategies in digital marketing,Understanding digital marketing strategies
G13,G13.C5,Email marketing segmentation best practices,Understanding digital marketing strategies and tools
G14,G14.1,importance of end-to-end encryption for children online safety,impact of end-to-end encryption on child safety
G14,G14.2,end-to-end encryption benefits children online safety,impact of end-to-end encryption on child safety
G14,G14.C1,importance of end-to-end encryption in protecting children online,impact of end-to-end encryption on child safety
G14,G14.C2,strategies to protect children online with end-to-end encryption,impact of end-to-end encryption on child safety
G14,G14.C3,impact of end-to-end encryption on data protection and privacy regulations,impact of end-to-end encryption on child safety
